variable;variable_old;item;text;info
Duration (in seconds);Duration (in seconds);NA;Dauer (in Sekunden);"{""ImportId"":""duration""}"
ResponseId;ResponseId;NA;Antwort-ID;"{""ImportId"":""_recordId""}"
age;age;NA;Wie alt sind Sie?;"{""ImportId"":""QID17_TEXT""}"
gender;gender;NA;Welchem Geschlecht gehören Sie an?;"{""ImportId"":""QID18""}"
edu;edu;NA;Bitte geben Sie Ihren höchsten Bildungsabschluss an.;"{""ImportId"":""QID20""}"
ANAG;ANAG;NA;Bitte geben Sie die Art Ihrer Beschäftigung an.;"{""ImportId"":""QID21""}"
BF_1;BF_1;Ich bin eher zurückhaltend, reserviert.;Nun folgen Fragen zu Ihrer Persönlichkeit.Inwieweit treffen die folgenden Aussagen auf Sie zu? - Ich bin eher zurückhaltend, reserviert.;"{""ImportId"":""QID1_1""}"
BF_2;BF_2;Ich schenke anderen leicht Vertrauen, glaube an das Gute in Menschen.;Nun folgen Fragen zu Ihrer Persönlichkeit.Inwieweit treffen die folgenden Aussagen auf Sie zu? - Ich schenke anderen leicht Vertrauen, glaube an das Gute in Menschen.;"{""ImportId"":""QID1_2""}"
BF_3;BF_3;Ich bin bequem, neige zur Faulheit.;Nun folgen Fragen zu Ihrer Persönlichkeit.Inwieweit treffen die folgenden Aussagen auf Sie zu? - Ich bin bequem, neige zur Faulheit.;"{""ImportId"":""QID1_3""}"
BF_4;BF_4;Ich bin entspannt, lasse mich durch Stress nicht aus der Ruhe bringen.;Nun folgen Fragen zu Ihrer Persönlichkeit.Inwieweit treffen die folgenden Aussagen auf Sie zu? - Ich bin entspannt, lasse mich durch Stress nicht aus der Ruhe bringen.;"{""ImportId"":""QID1_4""}"
BF_5;BF_5;Ich habe nur wenig künstlerisches Interesse.;Nun folgen Fragen zu Ihrer Persönlichkeit.Inwieweit treffen die folgenden Aussagen auf Sie zu? - Ich habe nur wenig künstlerisches Interesse.;"{""ImportId"":""QID1_5""}"
