StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,DSGVO,gender,age,edu,jobstatus,jobstatus_8_TEXT,urban,Hotline,EZKV_1,EZKV_2,EZKV_3,EZKV_4,EZKV_5,EZKV_6,BundID,PP_1,PP_2,PP_3,PP_4,PP_5,PP_6,HDS,AD_1,AD_2,AD_3,PD_1,PD_2,PD_3,ATI_1,ATI_2,ATI_3,ATI_4,TIA_1,TIA_2,TIA_3,ICTSC_1,ICTSC_2,ICTSC_3,ICTSC_4,ICTSC_5,ICTSC_6,ICTSC_7,ICTSC_8,ICTSC_9,ICTSC_10,ICTSC_11,ICTSC_12,ICTSC_13,ICTSC_14,ICTSC_15,ICTSC_16,ICTSC_17,ICTSC_18,TP_1,TP_2,TP_3,TP_4,TP_5,TP_6,TP_7,TP_8,TP_9,IO_1,IO_2,IO_3,IO_4,GAAIS_1,GAAIS_2,GAAIS_3,GAAIS_4,GAAIS_5,Q21_1,Q21_2,Q21_3,Q23_1,Q23_2,Q23_3,Q22_1,Q22_2,Q22_3,Q24_1,Q24_2,Q24_3,Abschluss,Q30,studID,StudID
Anfangsdatum,Enddatum,Antworttyp,IP-Adresse,Aktueller Stand,Dauer (in Sekunden),Beendet,Erfassungsdatum,Antwort-ID,Nachname des Empfängers,Vorname des Empfängers,E-Mail des Empfängers,Externe Datenreferenz,Breitengrad des Standorts,Längengrad des Standorts,Verteilungskanal,Benutzersprache,"Informationen zum Datenschutz Nach Art. 13 DSGVO und dem geltenden Datenschutzgesetz des Landes Nordrhein-Westfalen (Deutschland) vom 17.05.2018 (§17). Die Rechtsgrundlage dieser wissenschaftlichen Befragung richtet sich nach dem deutschen Grundgesetz, Art. 5, Abs. 3. In dieser Befragung werden keinerlei personenbezogenen Daten erhoben. Ihre Angaben erfolgen anonym und ohne dass hieraus Rückschlüsse auf Ihre Person gezogen werden können. Dies bedeutet auch, dass wir Ihre Daten nicht mehr löschen können, sobald Sie diese einmal eingegeben haben, da wir Ihre Daten nicht identifizieren können. Ihre Daten werden ausschließlich zu Forschungszwecken genutzt. Es ist beabsichtigt, die Ergebnisse in wissenschaftlichen Fachzeitschriften zu veröffentlichen, allerdings ausschließlich in aggregierter Form und ohne möglichen Rückschluss auf Angaben einzelner Personen (nach NRW Datenschutzgesetz §17 (4)). Ihre Daten werden in Deutschland auf passwortgesicherten Datenträgern gespeichert. Nur Projektmitarbeitende haben Zugriff auf Ihre Daten.",Mit welchem Geschlecht identifizieren Sie sich am ehesten?,Bitte geben Sie Ihr Alter in Jahren ein.,Was ist Ihr höchster Bildungsabschluss?,Was beschreibt Ihren aktuellen Beschäftigungsstatus am ehesten? - Selected Choice,Was beschreibt Ihren aktuellen Beschäftigungsstatus am ehesten? - Sonstiges (bitte angeben) – Text,Was beschreibt ihren aktuellen Wohnort am ehesten?,"Bei Anrufen bei einer Sercive-Hotline wird meistens abgefragt, ob man damit einverstanden ist, dass das Gespräch zu Schulungszwecken aufgezeichnet wird. Wie antworten Sie hierauf überwiegend?",Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden bearbeiten Anliegen ohne Verzögerung.,Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden handeln transparent und ehrlich.,Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Die Anträge in Behörden sind klar und verständlich.,Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden erledigen ihre Aufgaben sehr gut.,Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden verarbeiten meine Daten sicher und ausschließlich zweckmäßig.,Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Die Interaktion mit Behörden ist frustrierend.,Sind Sie für den BundID-Service angemeldet?,Welche der folgenden politischen Aktivitäten haben Sie bereits durchgeführt? - Ich setze mich aktiv für meine politischen Anschauungen ein.,Welche der folgenden politischen Aktivitäten haben Sie bereits durchgeführt? - Ich besuche die Wahlveranstaltungen von Parteien und nehme zu dem Gesagten Stellung.,Welche der folgenden politischen Aktivitäten haben Sie bereits durchgeführt? - Ich habe in den letzten Monaten an einer Demonstration teilgenommen.,Welche der folgenden politischen Aktivitäten haben Sie bereits durchgeführt? - Ich habe schon einmal eine politische Entschließung/eine Resolution unterschrieben.,Welche der folgenden politischen Aktivitäten haben Sie bereits durchgeführt? - Ich habe in den letzten Wochen eine politische Sendung -außer Nachrichten- im Rundfunk oder Fernsehen verfolgt.,Welche der folgenden politischen Aktivitäten haben Sie bereits durchgeführt? - Ich lese regelmäßig den politischen Teil einer (Online-)Zeitung.,"Wie oft haben Sie in den letzten 12 Monaten digitale Services der Kommunalverwaltung (z. B. Online-Terminvereinbarungen, digitale Antragsstellung, Bürger-App) genutzt?",Erledigen Sie alltägliche Angelegenheiten eher analog oder digital? - Ich erledige alltägliche Verwaltungstätigkeiten bevorzugt online.,Erledigen Sie alltägliche Angelegenheiten eher analog oder digital? - Bei Terminen wie Arztbesuchen oder Anmeldungen wähle ich meist den digitalen Weg.,"Erledigen Sie alltägliche Angelegenheiten eher analog oder digital? - Wenn sowohl ein digitaler als auch ein analoger Weg möglich ist, entscheide ich mich in der Regel für die digitale Option.",Inwiefern stimmen Sie den folgenden Aussagen zu Ihrer Privatsphäre zu? - Verglichen mit anderen mache ich mir viele Sorgen über meine Privatsphäre.,"Inwiefern stimmen Sie den folgenden Aussagen zu Ihrer Privatsphäre zu? - Verglichen mit anderen bin ich sehr empfindlich, wenn es darum geht, was mit meinen persönlichen Daten passiert.","Inwiefern stimmen Sie den folgenden Aussagen zu Ihrer Privatsphäre zu? - Für mich ist es sehr wichtig, meine Privatsphäre zu schützen.",Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich beschäftige mich gern genauer mit technischen Systemen.,Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich probiere gern die Funktionen neuer technischer Systeme aus.,"Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.","Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen",Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Bei unbekannten automatisierten Systemen sollte man eher vorsichtig sein.,Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Ich vertraue einem System eher als dass ich ihm misstraue.,Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Automatisierte Systeme funktionieren generell gut.,"Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich bin gut darin, digitale Systeme zu nutzen.","Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich lerne schnell, wenn es um das Nutzen digitaler Systeme geht.","Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Mir fällt es leicht, mich an neue digitale Systeme zu gewöhnen.","Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich bin gut darin, mit anderen über digitale Systeme zusammenzuarbeiten.","Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich lerne schnell, welches Kommunikationsmedium (Text, Audio, Video, Sound, ...) zur Bearbeitung einer Aufgabe zu wählen ist.","Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Mir fällt es leicht, Informationen über digitale Systeme zu verbreiten.","Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich kann die Qualität der von mir genutzten digitalen Daten, Informationen und Inhalte bewerten.","Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich bin gut darin, die Relevanz digitaler Daten, Informationen und Inhalte zu bewerten.","Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Mir fällt es leicht, digitale Daten, Informationen und Inhalte zur Bearbeitung einer Aufgabe zu finden.","Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich bin ich gut darin, digitale Daten, Informationen und Inhalte weiterzuentwickeln.","Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich lerne schnell, was das Interpretieren digitaler Daten, Informationen und Inhalte angeht.","Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Mir fällt es leicht, digitale Daten, Informationen und Inhalte für andere aufzubereiten.",Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich kann digitale Systeme durch Sicherheitsmaßnahmen schützen.,"Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich bin gut darin, private Daten im Umgang mit digitalen Systemen zu schützen.","Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich lerne schnell, was das Aneignen von Wissen über Sicherheitsrisiken und -maßnahmen in digitalen Systemen angeht.",Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich kann bei auftretenden Problemen mit digitalen Systemen deren Funktionsfähigkeit selbstständig wiederherstellen.,"Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich bin gut darin, auftretende Probleme mit digitalen Systemen selbständig zu lösen.","Inwiefern stimmen Sie diesen Aussagen zu digitalen Systemen zu? - Ich lerne schnell, inhaltliche Probleme mit Hilfe von digitalen Systemen zu beheben.","Inwiefern stimmen Sie diesen Aussagen zu Technologie zu? - Ich fühle mich frustriert, wenn ich innovative Services benutze.","Inwiefern stimmen Sie diesen Aussagen zu Technologie zu? - Wenn ich an innovative Services denke, werde ich nervös.",Inwiefern stimmen Sie diesen Aussagen zu Technologie zu? - Innovative Services schüchtern mich ein.,"Inwiefern stimmen Sie diesen Aussagen zu Technologie zu? - Mir ist es lieber, wenn ich bei meinen Angelegenheiten von Leuten bedient werde, als dass ich einen innovativen Service benutze.",Inwiefern stimmen Sie diesen Aussagen zu Technologie zu? - Ich habe mehr Vertrauen zu einem Angestellten der Kommunalverwaltung als zu einem innovativen Service.,Inwiefern stimmen Sie diesen Aussagen zu Technologie zu? - Die Angelegenheiten von Menschen sollten nicht von Maschinen erledigt werden.,"Inwiefern stimmen Sie diesen Aussagen zu Technologie zu? - Ich fühle mich wohl, wenn ich innovative Services benutze.",Inwiefern stimmen Sie diesen Aussagen zu Technologie zu? - Innovative Services machen Transaktionen einfacher.,"Inwiefern stimmen Sie diesen Aussagen zu Technologie zu? - Ich finde es angenehm, dass innovative Services so bequem sind.","Inwiefern stimmen Sie diesen Aussagen zu technischen Innovationen zu? - Wenn ich von einer neuen Informationstechnologie höre, suche ich nach Möglichkeiten, damit zu experimentieren.","Inwiefern stimmen Sie diesen Aussagen zu technischen Innovationen zu? - Unter meinen Kollegen bin ich in der Regel der Erste, der neue Informationstechnologien ausprobiert.","Inwiefern stimmen Sie diesen Aussagen zu technischen Innovationen zu? - Im Allgemeinen zögere ich, neue Informationstechnologien auszuprobieren.",Inwiefern stimmen Sie diesen Aussagen zu technischen Innovationen zu? - Ich experimentiere gerne mit neuen Informationstechnologien.,"Bei den folgenden Fragen geht es um künstliche Intelligenz (KI). Für diesen Begriff gibt es keine einheitliche Definition. Im Alltag wird der Begriff verwendet, um Systeme zu beschreiben, die durch hohe Rechenleistung und machine learning in der Lage sind, komplexe Aufgaben zu bearbeiten und aus menschlicher Perspektive rational zu lösen. Zu solchen Systemen zählen generative Systeme wie ChatGPT, aber auch bereits verbreitete Sprachassistenten wie Apple Siri oder Amazon Alexa. Im Folgenden geht es um KI-Systeme allgemein.  Inwiefern stimmen Sie diesen allgemeinen Aussagen zu künstlicher Intelligenz (KI) zu? - Ich habe Angst vor künstlicher Intelligenz","Bei den folgenden Fragen geht es um künstliche Intelligenz (KI). Für diesen Begriff gibt es keine einheitliche Definition. Im Alltag wird der Begriff verwendet, um Systeme zu beschreiben, die durch hohe Rechenleistung und machine learning in der Lage sind, komplexe Aufgaben zu bearbeiten und aus menschlicher Perspektive rational zu lösen. Zu solchen Systemen zählen generative Systeme wie ChatGPT, aber auch bereits verbreitete Sprachassistenten wie Apple Siri oder Amazon Alexa. Im Folgenden geht es um KI-Systeme allgemein.  Inwiefern stimmen Sie diesen allgemeinen Aussagen zu künstlicher Intelligenz (KI) zu? - Ich vertraue künstlicher Intelligenz","Bei den folgenden Fragen geht es um künstliche Intelligenz (KI). Für diesen Begriff gibt es keine einheitliche Definition. Im Alltag wird der Begriff verwendet, um Systeme zu beschreiben, die durch hohe Rechenleistung und machine learning in der Lage sind, komplexe Aufgaben zu bearbeiten und aus menschlicher Perspektive rational zu lösen. Zu solchen Systemen zählen generative Systeme wie ChatGPT, aber auch bereits verbreitete Sprachassistenten wie Apple Siri oder Amazon Alexa. Im Folgenden geht es um KI-Systeme allgemein.  Inwiefern stimmen Sie diesen allgemeinen Aussagen zu künstlicher Intelligenz (KI) zu? - Künstliche Intelligenz wird die Menschheit zerstören","Bei den folgenden Fragen geht es um künstliche Intelligenz (KI). Für diesen Begriff gibt es keine einheitliche Definition. Im Alltag wird der Begriff verwendet, um Systeme zu beschreiben, die durch hohe Rechenleistung und machine learning in der Lage sind, komplexe Aufgaben zu bearbeiten und aus menschlicher Perspektive rational zu lösen. Zu solchen Systemen zählen generative Systeme wie ChatGPT, aber auch bereits verbreitete Sprachassistenten wie Apple Siri oder Amazon Alexa. Im Folgenden geht es um KI-Systeme allgemein.  Inwiefern stimmen Sie diesen allgemeinen Aussagen zu künstlicher Intelligenz (KI) zu? - Künstliche intelligenz wid eine Bereicherung für die Menschheit sein","Bei den folgenden Fragen geht es um künstliche Intelligenz (KI). Für diesen Begriff gibt es keine einheitliche Definition. Im Alltag wird der Begriff verwendet, um Systeme zu beschreiben, die durch hohe Rechenleistung und machine learning in der Lage sind, komplexe Aufgaben zu bearbeiten und aus menschlicher Perspektive rational zu lösen. Zu solchen Systemen zählen generative Systeme wie ChatGPT, aber auch bereits verbreitete Sprachassistenten wie Apple Siri oder Amazon Alexa. Im Folgenden geht es um KI-Systeme allgemein.  Inwiefern stimmen Sie diesen allgemeinen Aussagen zu künstlicher Intelligenz (KI) zu? - Künstliche Intelligenz wird für viel Arbeitslosigkeit sorgen","Stellen Sie sich vor, Ihre Angaben werden ausschließlich für die Bearbeitung Ihres aktuellen Anliegens verwendet und nicht zum weiteren KI-Modelltraining verwendet. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich beabsichtige, die beschriebene KI zu nutzen","Stellen Sie sich vor, Ihre Angaben werden ausschließlich für die Bearbeitung Ihres aktuellen Anliegens verwendet und nicht zum weiteren KI-Modelltraining verwendet. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich kann mir gut vorstellen, das beschriebene KI-System einzusetzen","Stellen Sie sich vor, Ihre Angaben werden ausschließlich für die Bearbeitung Ihres aktuellen Anliegens verwendet und nicht zum weiteren KI-Modelltraining verwendet. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich würde das System in Zukunft gern nutzen","Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden ausschließlich von IT-Stellen des öffentlichen Dienstes zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich beabsichtige, die beschriebene KI zu nutzen","Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden ausschließlich von IT-Stellen des öffentlichen Dienstes zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich kann mir gut vorstellen, das beschriebene KI-System einzusetzen","Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden ausschließlich von IT-Stellen des öffentlichen Dienstes zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich würde das System in Zukunft gern nutzen","Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden ausschließlich von privatwirtschaftlichen IT-Stellen zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich beabsichtige, die beschriebene KI zu nutzen","Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden ausschließlich von privatwirtschaftlichen IT-Stellen zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich kann mir gut vorstellen, das beschriebene KI-System einzusetzen","Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden ausschließlich von privatwirtschaftlichen IT-Stellen zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich würde das System in Zukunft gern nutzen","Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden in Kooperation von öffentlichen (d.h. öffentlicher Dienst) und privatwirtschaftlichen IT-Stellen zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich beabsichtige, die beschriebene KI zu nutzen","Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden in Kooperation von öffentlichen (d.h. öffentlicher Dienst) und privatwirtschaftlichen IT-Stellen zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich kann mir gut vorstellen, das beschriebene KI-System einzusetzen","Stellen Sie sich vor, die Daten aus Ihrem Vorgang werden in Kooperation von öffentlichen (d.h. öffentlicher Dienst) und privatwirtschaftlichen IT-Stellen zum KI-Modelltraining genutzt. Würden Sie die beschriebene KI in diesem Fall nutzen? - Ich würde das System in Zukunft gern nutzen",Zum Abschluss: Den Einsatz von KI für digitale Services der Kommunalverwaltung finde ich gut.,"Vielen Dank für Ihre Teilnahme an der Umfrage!

Falls Sie noch abschließende Anmerkungen haben, können Sie diese gern hier eintragen:",studID,StudID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID31""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_8_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID35""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID16_6""}","{""ImportId"":""QID34""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID12_7""}","{""ImportId"":""QID12_8""}","{""ImportId"":""QID12_9""}","{""ImportId"":""QID12_10""}","{""ImportId"":""QID12_11""}","{""ImportId"":""QID12_12""}","{""ImportId"":""QID12_13""}","{""ImportId"":""QID12_14""}","{""ImportId"":""QID12_15""}","{""ImportId"":""QID12_16""}","{""ImportId"":""QID12_17""}","{""ImportId"":""QID12_18""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID13_7""}","{""ImportId"":""QID13_8""}","{""ImportId"":""QID13_9""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID39""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""studID""}","{""ImportId"":""StudID""}"
2025-12-11 15:45:05,2025-12-11 16:25:48,0,137.226.67.57,100,2442,1,2025-12-11 16:25:48,R_8FEqeHEaQGynce8,,,,,50.7688,6.0758,anonymous,DE,1,2,25,5,2,,3,2,2,5,4,4,4,3,1,1,2,1,2,1,2,3,5,5,6,5,5,4,5,6,3,2,5,2,3,5,6,6,5,6,6,6,5,6,5,6,6,5,5,5,6,5,4,5,5,5,5,5,1,2,3,4,6,5,6,6,6,5,6,5,6,6,6,6,1,1,1,6,6,6,1,1,1,6,Test ENDE :D,,
2025-12-12 12:20:18,2025-12-12 12:20:18,2,,100,0,1,2025-12-12 12:20:18,R_1TZSzhsESxyIqBo,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-12 12:20:18,2025-12-12 12:20:19,2,,100,1,1,2025-12-12 12:20:19,R_6MrXEoPqQH8jfwi,,,,,,,test,,1,3,20,2,2,,2,3,6,3,1,1,5,2,1,1,1,1,2,2,2,5,2,2,2,2,1,4,4,4,4,1,6,5,3,5,3,3,1,6,3,3,2,1,1,6,2,2,2,6,1,6,5,4,4,1,5,3,1,1,6,5,6,6,2,4,4,2,4,6,5,5,4,5,1,5,3,3,4,6,6,2,5,1,"Iaculis, nec facilisi, lectus erat? Erat posuere dui tempus sapien pretium pretium eleifend metus tempora.",,
2025-12-12 12:20:19,2025-12-12 12:20:19,2,,100,0,1,2025-12-12 12:20:19,R_b7KK8FdVQKbqvXM,,,,,,,test,,1,1,80,3,4,,2,3,3,5,5,6,2,3,4,2,1,1,2,2,1,6,1,5,5,2,2,2,5,1,4,1,2,1,3,6,4,6,1,5,4,4,4,3,3,1,2,4,3,1,1,4,5,4,4,2,6,1,5,6,2,5,3,2,6,4,5,2,5,3,5,4,2,4,4,2,4,5,1,3,3,1,3,6,"Sit odio interdum integer. Sodales justo magnis, dolor fusce felis.",,
2025-12-12 12:20:19,2025-12-12 12:20:19,2,,100,0,1,2025-12-12 12:20:19,R_esyMl2nrFClG8XI,,,,,,,test,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-12 12:20:19,2025-12-12 12:20:19,2,,100,0,1,2025-12-12 12:20:20,R_0CEvz2qdTR3K9RY,,,,,,,test,,1,1,35,4,1,,3,3,5,1,3,4,3,3,3,1,1,2,1,2,1,1,5,5,2,4,1,4,2,5,4,1,1,1,2,3,2,6,6,4,4,3,2,6,4,2,2,5,2,6,4,3,6,1,4,4,2,1,5,4,2,3,4,3,3,2,2,3,1,1,1,2,5,4,5,3,1,6,1,5,5,5,1,6,Justo nulla neque eget at interdum. Sed magna mi iaculis massa! Dignissim malesuada.,,
2025-12-12 12:20:20,2025-12-12 12:20:20,2,,100,0,1,2025-12-12 12:20:20,R_0NxuNfqlToOmy1w,,,,,,,test,,1,4,44,4,6,,1,2,6,4,6,6,1,3,1,1,1,2,1,1,2,6,6,1,1,2,5,4,4,4,1,1,1,2,3,2,5,1,3,5,3,6,2,6,6,2,1,4,3,1,5,2,6,5,3,6,1,2,3,1,5,1,3,3,2,5,2,4,2,4,2,1,4,6,5,3,2,1,4,2,3,3,5,1,"Nibh platea fusce vehicula. Nec, temporibus? Eget ipsum? Nonummy. Dolor, sapien.",,
2025-12-12 12:20:20,2025-12-12 12:20:20,2,,100,0,1,2025-12-12 12:20:20,R_aVSKE1ZPEoknJ7E,,,,,,,test,,1,2,41,5,1,,3,2,2,6,1,6,4,6,1,2,2,2,2,2,1,2,5,5,3,4,4,4,6,4,5,2,5,6,6,5,6,4,2,2,4,2,6,5,5,2,4,6,3,3,2,6,6,3,6,1,1,4,3,5,4,4,6,1,5,3,3,2,1,4,3,3,2,1,1,3,2,2,5,3,2,3,4,6,"Quis convallis viverra, sed nunc sit vehicula, tempora quam atque? Vulputate volutpat vestibulum cursus.",,
