variable;variable_old;item;text;info
Duration (in seconds);Duration (in seconds);NA;Dauer (in Sekunden);"{""ImportId"":""duration""}"
ResponseId;ResponseId;NA;Antwort-ID;"{""ImportId"":""_recordId""}"
DSGVO;DSGVO;NA;Informationen zum Datenschutz Nach Art. 13 DSGVO und dem geltenden Datenschutzgesetz des Landes Nordrhein-Westfalen (Deutschland) vom 17.05.2018 (§17). Die Rechtsgrundlage dieser wissenschaftlichen Befragung richtet sich nach dem deutschen Grundgesetz, Art. 5, Abs. 3. In dieser Befragung werden keinerlei personenbezogenen Daten erhoben. Ihre Angaben erfolgen anonym und ohne dass hieraus Rückschlüsse auf Ihre Person gezogen werden können. Dies bedeutet auch, dass wir Ihre Daten nicht mehr löschen können, sobald Sie diese einmal eingegeben haben, da wir Ihre Daten nicht identifizieren können. Ihre Daten werden ausschließlich zu Forschungszwecken genutzt. Es ist beabsichtigt, die Ergebnisse in wissenschaftlichen Fachzeitschriften zu veröffentlichen, allerdings ausschließlich in aggregierter Form und ohne möglichen Rückschluss auf Angaben einzelner Personen (nach NRW Datenschutzgesetz §17 (4)). Ihre Daten werden in Deutschland auf passwortgesicherten Datenträgern gespeichert. Nur Projektmitarbeitende haben Zugriff auf Ihre Daten.;"{""ImportId"":""QID31""}"
gender;gender;NA;Mit welchem Geschlecht identifizieren Sie sich am ehesten?;"{""ImportId"":""QID3""}"
age;age;NA;Bitte geben Sie Ihr Alter in Jahren ein.;"{""ImportId"":""QID4_TEXT""}"
edu;edu;NA;Was ist Ihr höchster Bildungsabschluss?;"{""ImportId"":""QID5""}"
jobstatus;jobstatus;Selected Choice;Was beschreibt Ihren aktuellen Beschäftigungsstatus am ehesten? - Selected Choice;"{""ImportId"":""QID6""}"
jobstatus_8_TEXT;jobstatus_8_TEXT;Sonstiges (bitte angeben) – Text;Was beschreibt Ihren aktuellen Beschäftigungsstatus am ehesten? - Sonstiges (bitte angeben) – Text;"{""ImportId"":""QID6_8_TEXT""}"
urban;urban;NA;Was beschreibt ihren aktuellen Wohnort am ehesten?;"{""ImportId"":""QID8""}"
Hotline;Hotline;NA;Bei Anrufen bei einer Sercive-Hotline wird meistens abgefragt, ob man damit einverstanden ist, dass das Gespräch zu Schulungszwecken aufgezeichnet wird. Wie antworten Sie hierauf überwiegend?;"{""ImportId"":""QID35""}"
